gvkey,gvkeyx,from,thru,conm,tic,co_conm,co_tic
3446,3,31/03/1964,30/11/1968,S&P 500 Comp-Ltd,I0003,CONTAINER CORP OF AMER-OLD,CNR.3
6732,3,31/03/1964,30/11/1968,S&P 500 Comp-Ltd,I0003,LILY-TULIP INC,LILY
6810,3,31/03/1964,30/11/1968,S&P 500 Comp-Ltd,I0003,LORILLARD CORP,LL.1
7544,3,31/03/1964,30/11/1968,S&P 500 Comp-Ltd,I0003,MONTGOMERY WARD HLDG  -CL A,9283B
7806,3,31/03/1964,30/11/1968,S&P 500 Comp-Ltd,I0003,NEISNER BROTHERS INC,1419B
1057,3,31/03/1964,28/02/1969,S&P 500 Comp-Ltd,I0003,ABEX CORP,8892A
8906,3,31/03/1964,28/02/1969,S&P 500 Comp-Ltd,I0003,R S N PROJECTS INC,NSUG
9744,3,31/03/1964,28/02/1969,S&P 500 Comp-Ltd,I0003,SINCLAIR OIL CORP,L.1
10956,3,31/03/1964,28/02/1969,S&P 500 Comp-Ltd,I0003,U S LINES CO-N J,USL.1
186936,3,31/03/1964,28/02/1969,S&P 500 Comp-Ltd,I0003,SEABOARD FINANCE CO,SFC.4
1809,3,31/03/1964,31/05/1969,S&P 500 Comp-Ltd,I0003,ASSOCIATED INVESTMENT SECS,ATS.1
6941,3,31/03/1964,31/05/1969,S&P 500 Comp-Ltd,I0003,MAGMA COPPER CO  -OLD,MMX.1
3112,3,31/03/1964,31/08/1969,S&P 500 Comp-Ltd,I0003,CLEVITE CORP,CGH.1
8811,3,31/03/1964,28/02/1970,S&P 500 Comp-Ltd,I0003,PUBLICARD INC,CARD
266101,3,31/03/1964,28/02/1970,S&P 500 Comp-Ltd,I0003,NORTHERN PACIFIC RAILWAY CO,NP.1
1722,3,31/03/1964,31/05/1970,S&P 500 Comp-Ltd,I0003,ARCHER-DANIELS-MIDLAND CO,ADM
2095,3,31/03/1964,31/05/1970,S&P 500 Comp-Ltd,I0003,BAYUK CIGARS INC,BYK.
2864,3,31/03/1964,31/05/1970,S&P 500 Comp-Ltd,I0003,CENTRAL SOYA CO INC,5585A
3642,3,31/03/1964,31/05/1970,S&P 500 Comp-Ltd,I0003,CULBRO CORP,CBO.2
3662,3,31/03/1964,31/05/1970,S&P 500 Comp-Ltd,I0003,CURTISS-WRIGHT CORP,CW
6537,3,31/03/1964,31/05/1970,S&P 500 Comp-Ltd,I0003,LTV STEEL CO INC,3LTVCQ3
7156,3,31/03/1964,31/05/1970,S&P 500 Comp-Ltd,I0003,MCDONOUGH CO,MDO.1
7555,3,31/03/1964,31/05/1970,S&P 500 Comp-Ltd,I0003,MOORE MCCORMACK RESOURCES,MMR.2
7780,3,31/03/1964,31/05/1970,S&P 500 Comp-Ltd,I0003,NATIONAL TEA CO,NTY.1
