gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,cusip,conm,curcd,fyr,act,at,ebit,ebitda,epspi,epspx,lt,ni,niadj,nits,opiti,pstk,pstkl,pstkrv,spce,spceeps,txditc,upstk,exchg,costat,ein,fyrc,idbflag,incorp,loc,sic,spcindcd,spcseccd
1230,31/12/2018,2018,INDL,C,D,STD,ALK,11659109,ALASKA AIR GROUP INC,USD,12,1787,10912,775,1173,3.55,3.55,7161,437,437,,,0,0,0,,,512,,11,A,91-1292054,12,D,DE,USA,4512,605,600
1300,31/12/2013,2013,INDL,C,D,STD,HON,438516106,HONEYWELL INTERNATIONAL INC,USD,12,21164,45435,6164,7155,4.99,4.99,27689,3924,3924,,,0,0,0,,,804,,11,A,22-2640650,12,B,DE,USA,9997,355,925
1300,31/12/2014,2014,INDL,C,D,STD,HON,438516106,HONEYWELL INTERNATIONAL INC,USD,12,22191,45451,6429,7353,5.4,5.4,27448,4239,4239,,,0,0,0,,,236,,11,A,22-2640650,12,B,DE,USA,9997,355,925
1300,31/12/2015,2015,INDL,C,D,STD,HON,438516106,HONEYWELL INTERNATIONAL INC,USD,12,20053,49316,7374,8257,6.11,6.11,30608,4768,4768,,,0,0,0,,,558,,11,A,22-2640650,12,B,DE,USA,9997,355,925
1300,31/12/2016,2016,INDL,C,D,STD,HON,438516106,HONEYWELL INTERNATIONAL INC,USD,12,23058,54146,7331,8361,6.29,6.29,34596,4809,4809,,,0,0,0,,,486,,11,A,22-2640650,12,B,DE,USA,9997,355,925
1300,31/12/2017,2017,INDL,C,D,STD,HON,438516106,HONEYWELL INTERNATIONAL INC,USD,12,26002,59387,8122,9237,2.17,2.17,41943,1655,1655,,,0,0,0,,,2894,,11,A,22-2640650,12,B,DE,USA,9997,355,925
1300,31/12/2018,2018,INDL,C,D,STD,HON,438516106,HONEYWELL INTERNATIONAL INC,USD,12,24362,57773,7755,8871,9.1,9.1,39408,6765,6765,,,0,0,0,,,1713,,11,A,22-2640650,12,B,DE,USA,9997,355,925
1327,30/09/2013,2013,INDL,C,D,STD,SWKS,83088M102,SKYWORKS SOLUTIONS INC,USD,9,1073.3,2333.1,353.6,457,1.48,1.48,232,278.1,278.1,,,0,0,0,,,,,14,A,04-2302115,9,D,DE,USA,3674,230,940
1327,30/09/2014,2014,INDL,C,D,STD,SWKS,83088M102,SKYWORKS SOLUTIONS INC,USD,9,1429.2,2973.8,571.2,693.9,2.44,2.44,441.4,457.7,457.7,,,0,0,0,,,,,14,A,04-2302115,9,D,DE,USA,3674,230,940
1327,30/09/2015,2015,INDL,C,D,STD,SWKS,83088M102,SKYWORKS SOLUTIONS INC,USD,9,1914.7,3719.4,1026.7,1222.5,4.21,4.21,560.2,798.3,798.3,,,0,0,0,,,,,14,A,04-2302115,9,D,DE,USA,3674,230,940
1327,30/09/2016,2016,INDL,C,D,STD,SWKS,83088M102,SKYWORKS SOLUTIONS INC,USD,9,2002.1,3855.4,1131,1378.8,5.27,5.27,314,995.2,995.2,,,0,0,0,,,,,14,A,04-2302115,9,D,DE,USA,3674,230,940
1327,30/09/2017,2017,INDL,C,D,STD,SWKS,83088M102,SKYWORKS SOLUTIONS INC,USD,9,2633.7,4573.6,1257.7,1512.5,5.48,5.48,507.9,1010.2,1010.2,,,0,0,0,,,9.2,,14,A,04-2302115,9,D,DE,USA,3674,230,940
1327,30/09/2018,2018,INDL,C,D,STD,SWKS,83088M102,SKYWORKS SOLUTIONS INC,USD,9,2262.2,4828.9,1321,1620.2,5.06,5.06,731.9,918.4,918.4,,,0,0,0,,,14.9,,14,A,04-2302115,9,D,DE,USA,3674,230,940
1380,31/12/2013,2013,INDL,C,D,STD,HES,42809H107,HESS CORP,USD,12,8599,42754,2861,6149,15.01,11.28,17970,5052,5052,,,0,0,0,,,2292,,11,A,13-4921002,12,D,DE,USA,1311,385,935
1380,31/12/2014,2014,INDL,C,D,STD,HES,42809H107,HESS CORP,USD,12,6687,38578,2052,5486,7.63,5.57,16258,2317,2317,,,0,0,0,,,2009,,11,A,13-4921002,12,D,DE,USA,1311,385,935
1380,31/12/2015,2015,INDL,C,D,STD,HES,42809H107,HESS CORP,USD,12,4404,34195,-2359,1911,-10.78,-10.61,13794,-3056,-3056,,,0,0,0,,,1334,,11,A,13-4921002,12,D,DE,USA,1311,385,935
1380,31/12/2016,2016,INDL,C,D,STD,HES,42809H107,HESS CORP,USD,12,4276,28621,-3219,1108,-19.92,-19.92,13030,-6132,-6173,,,1,575,575,,,1144,,11,A,13-4921002,12,D,DE,USA,1311,385,935
1380,31/12/2017,2017,INDL,C,D,STD,HES,42809H107,HESS CORP,USD,12,6157,23112,-5392,-2185,-13.12,-13.12,10758,-4074,-4120,,,1,575,575,,,429,,11,A,13-4921002,12,D,DE,USA,1311,385,935
1380,31/12/2018,2018,INDL,C,D,STD,HES,42809H107,HESS CORP,USD,12,4459,21433,639,2543,-1.1,-1.1,10545,-282,-328,,,1,575,575,,,421,,11,A,13-4921002,12,D,DE,USA,1311,385,935
1440,31/12/2013,2013,INDL,C,D,STD,AEP,25537101,AMERICAN ELECTRIC POWER CO,USD,12,4310,56414,3111,4854,3.04,3.04,40328,1480,1480,,,0,0,0,,,10450,0,11,A,13-4922640,12,D,NY,USA,4911,705,700
1440,31/12/2014,2014,INDL,C,D,STD,AEP,25537101,AMERICAN ELECTRIC POWER CO,USD,12,4478,59633,3287,5216,3.34,3.34,42809,1634,1634,,,0,0,0,,,11124,0,11,A,13-4922640,12,D,NY,USA,4911,705,700
1440,31/12/2015,2015,INDL,C,D,STD,AEP,25537101,AMERICAN ELECTRIC POWER CO,USD,12,4072.4,61683.1,3333.5,5343.2,4.17,3.59,43778.2,2047.1,2047.1,,,0,0,0,,,11861.2,0,11,A,13-4922640,12,D,NY,USA,4911,705,700
1440,31/12/2016,2016,INDL,C,D,STD,AEP,25537101,AMERICAN ELECTRIC POWER CO,USD,12,6033.9,63467.7,3474.9,5437.2,1.24,1.25,46047.6,610.9,610.9,,,0,0,0,,,12029.9,0,11,A,13-4922640,12,D,NY,USA,4911,705,700
1440,31/12/2017,2017,INDL,C,D,STD,AEP,25537101,AMERICAN ELECTRIC POWER CO,USD,12,4253.1,64729.1,3431.2,5428.4,3.89,3.89,46403.6,1912.6,1912.6,,,11.9,11.9,11.9,,,7015.7,11.9,11,A,13-4922640,12,D,NY,USA,4911,705,700
1440,31/12/2018,2018,INDL,C,D,STD,AEP,25537101,AMERICAN ELECTRIC POWER CO,USD,12,4113.9,68802.8,2738.7,5025.3,3.9,3.9,49634.6,1923.8,1923.8,,,39.4,39.4,39.4,,,7300.1,39.4,11,A,13-4922640,12,D,NY,USA,4911,705,700
1447,31/12/2013,2013,FS,C,D,STD,AXP,25816109,AMERICAN EXPRESS CO,USD,12,,153375,,,,,133879,,,,,0,,,,,,,11,A,13-4922250,12,B,NY,USA,6141,850,800
1447,31/12/2013,2013,INDL,C,D,STD,AXP,25816109,AMERICAN EXPRESS CO,USD,12,,153375,8861,9881,4.91,4.91,133879,5359,5312,,,0,0,0,,,0,,11,A,13-4922250,12,B,NY,USA,6141,850,800
1447,31/12/2014,2014,FS,C,D,STD,AXP,25816109,AMERICAN EXPRESS CO,USD,12,,159103,,,,,138430,,,,,0,,,,,,,11,A,13-4922250,12,B,NY,USA,6141,850,800
